Date,sulfate,nitrate,ID
01-01-2000,NA,NA,55
02-01-2000,NA,NA,55
03-01-2000,NA,NA,55
04-01-2000,NA,NA,55
05-01-2000,NA,NA,55
06-01-2000,NA,NA,55
07-01-2000,NA,NA,55
08-01-2000,NA,NA,55
09-01-2000,NA,NA,55
10-01-2000,NA,NA,55
11-01-2000,NA,NA,55
12-01-2000,NA,NA,55
13-01-2000,NA,NA,55
14-01-2000,NA,NA,55
15-01-2000,NA,NA,55
16-01-2000,NA,NA,55
17-01-2000,NA,NA,55
18-01-2000,NA,NA,55
19-01-2000,NA,NA,55
20-01-2000,NA,NA,55
21-01-2000,NA,NA,55
22-01-2000,NA,NA,55
23-01-2000,NA,NA,55
24-01-2000,NA,NA,55
25-01-2000,NA,NA,55
26-01-2000,NA,NA,55
27-01-2000,NA,NA,55
28-01-2000,NA,NA,55
29-01-2000,NA,NA,55
30-01-2000,NA,NA,55
31-01-2000,NA,NA,55
01-02-2000,NA,NA,55
02-02-2000,NA,NA,55
03-02-2000,NA,NA,55
04-02-2000,NA,NA,55
05-02-2000,NA,NA,55
06-02-2000,NA,NA,55
07-02-2000,NA,NA,55
08-02-2000,NA,NA,55
09-02-2000,5.902,1.4755,55
10-02-2000,NA,NA,55
11-02-2000,NA,NA,55
12-02-2000,NA,NA,55
13-02-2000,NA,NA,55
14-02-2000,NA,NA,55
15-02-2000,NA,NA,55
16-02-2000,NA,NA,55
17-02-2000,NA,NA,55
18-02-2000,NA,NA,55
19-02-2000,NA,NA,55
20-02-2000,NA,NA,55
21-02-2000,NA,NA,55
22-02-2000,NA,NA,55
23-02-2000,NA,NA,55
24-02-2000,NA,NA,55
25-02-2000,NA,NA,55
26-02-2000,NA,NA,55
27-02-2000,1.062,0.3835,55
28-02-2000,NA,NA,55
29-02-2000,NA,NA,55
01-03-2000,NA,NA,55
02-03-2000,NA,NA,55
03-03-2000,NA,NA,55
04-03-2000,2.485,0.3719,55
05-03-2000,NA,NA,55
06-03-2000,NA,NA,55
07-03-2000,NA,NA,55
08-03-2000,NA,NA,55
09-03-2000,NA,NA,55
10-03-2000,5.144,0.6287,55
11-03-2000,NA,NA,55
12-03-2000,NA,NA,55
13-03-2000,NA,NA,55
14-03-2000,NA,NA,55
15-03-2000,NA,NA,55
16-03-2000,1.7885,0.5584,55
17-03-2000,NA,NA,55
18-03-2000,NA,NA,55
19-03-2000,NA,NA,55
20-03-2000,NA,NA,55
21-03-2000,NA,NA,55
22-03-2000,3.71,0.707,55
23-03-2000,NA,NA,55
24-03-2000,NA,NA,55
25-03-2000,NA,NA,55
26-03-2000,NA,NA,55
27-03-2000,NA,NA,55
28-03-2000,2.525,0.43505,55
29-03-2000,NA,NA,55
30-03-2000,NA,NA,55
31-03-2000,NA,NA,55
01-04-2000,NA,NA,55
02-04-2000,NA,NA,55
03-04-2000,3.8435,0.5973,55
04-04-2000,NA,NA,55
05-04-2000,NA,NA,55
06-04-2000,2.7635,0.66315,55
07-04-2000,NA,NA,55
08-04-2000,NA,NA,55
09-04-2000,2.7815,0.1791,55
10-04-2000,NA,NA,55
11-04-2000,NA,NA,55
12-04-2000,3.261,0.8741,55
13-04-2000,NA,NA,55
14-04-2000,NA,NA,55
15-04-2000,2.08,0.5941,55
16-04-2000,NA,NA,55
17-04-2000,NA,NA,55
18-04-2000,2.602,0.43195,55
19-04-2000,NA,NA,55
20-04-2000,NA,NA,55
21-04-2000,5.1605,0.42035,55
22-04-2000,NA,NA,55
23-04-2000,NA,NA,55
24-04-2000,3.7355,0.3806,55
25-04-2000,NA,NA,55
26-04-2000,NA,NA,55
27-04-2000,4.9695,0.3296,55
28-04-2000,NA,NA,55
29-04-2000,NA,NA,55
30-04-2000,6.367,0.44475,55
01-05-2000,NA,NA,55
02-05-2000,NA,NA,55
03-05-2000,4.757,0.5835,55
04-05-2000,NA,NA,55
05-05-2000,NA,NA,55
06-05-2000,2.8845,0.5053,55
07-05-2000,NA,NA,55
08-05-2000,NA,NA,55
09-05-2000,2.5485,0.63485,55
10-05-2000,NA,NA,55
11-05-2000,NA,NA,55
12-05-2000,3.4305,0.36,55
13-05-2000,NA,NA,55
14-05-2000,NA,NA,55
15-05-2000,5.34,0.3491,55
16-05-2000,NA,NA,55
17-05-2000,NA,NA,55
18-05-2000,3.8105,0.467,55
19-05-2000,NA,NA,55
20-05-2000,NA,NA,55
21-05-2000,4.5875,0.61045,55
22-05-2000,NA,NA,55
23-05-2000,NA,NA,55
24-05-2000,NA,NA,55
25-05-2000,NA,NA,55
26-05-2000,NA,NA,55
27-05-2000,6.8335,0.3427,55
28-05-2000,NA,NA,55
29-05-2000,NA,NA,55
30-05-2000,3.887,0.43885,55
31-05-2000,NA,NA,55
01-06-2000,NA,NA,55
02-06-2000,2.1695,0.3218,55
03-06-2000,NA,NA,55
04-06-2000,NA,NA,55
05-06-2000,4.1395,0.25125,55
06-06-2000,NA,NA,55
07-06-2000,NA,NA,55
08-06-2000,NA,NA,55
09-06-2000,NA,NA,55
10-06-2000,NA,NA,55
11-06-2000,NA,NA,55
12-06-2000,NA,NA,55
13-06-2000,NA,NA,55
14-06-2000,NA,NA,55
15-06-2000,NA,NA,55
16-06-2000,NA,NA,55
17-06-2000,NA,NA,55
18-06-2000,NA,NA,55
19-06-2000,NA,NA,55
20-06-2000,NA,NA,55
21-06-2000,NA,NA,55
22-06-2000,NA,NA,55
23-06-2000,NA,NA,55
24-06-2000,NA,NA,55
25-06-2000,NA,NA,55
26-06-2000,NA,NA,55
